order_id,customer_id,order_date,order_status,total_amount,payment_method,shipping_fee
ORD-00312,CUST-0072,2025-10-01 17:00:00,completed,2461.42,Credit Card,10.0
ORD-00313,CUST-0026,2025-08-08 20:00:00,completed,2113.85,Bank Transfer,5.0
ORD-00314,CUST-0014,2025-11-05 18:00:00,completed,383.69,COD,10.0
ORD-00315,CUST-0089,2025-11-18 08:00:00,cancelled,908.57,COD,10.0
ORD-00316,CUST-0097,2025-10-29 16:00:00,completed,2330.14,Credit Card,10.0
ORD-00317,CUST-0024,2025-07-15 19:00:00,completed,2590.83,E-Wallet,10.0
ORD-00318,CUST-0006,2025-07-10 13:00:00,completed,1653.43,Credit Card,0.0
ORD-00319,CUST-0065,2025-07-11 14:00:00,completed,717.91,Credit Card,5.0
ORD-00320,CUST-0015,2025-11-19 13:00:00,completed,1322.64,COD,5.0
ORD-00321,CUST-0004,2025-10-11 20:00:00,completed,2080.38,Credit Card,0.0
ORD-00322,CUST-0027,2025-11-19 18:00:00,completed,912.33,COD,5.0
ORD-00323,CUST-0005,2025-06-23 09:00:00,completed,1415.54,Bank Transfer,5.0
ORD-00324,CUST-0041,2025-06-05 14:00:00,completed,847.74,Credit Card,0.0
ORD-00325,CUST-0090,2025-06-19 13:00:00,cancelled,1159.03,Credit Card,10.0
ORD-00326,CUST-0037,2025-12-13 15:00:00,completed,432.97,E-Wallet,0.0
ORD-00327,CUST-0096,2025-09-09 20:00:00,completed,1552.26,E-Wallet,10.0
ORD-00328,CUST-0016,2025-06-11 08:00:00,completed,1028.43,E-Wallet,10.0
ORD-00329,CUST-0021,2025-07-18 11:00:00,completed,2297.1,Credit Card,10.0
ORD-00330,CUST-0038,2025-11-19 09:00:00,completed,1262.16,E-Wallet,10.0
ORD-00331,CUST-0013,2025-08-12 17:00:00,completed,840.54,E-Wallet,5.0
ORD-00332,CUST-0073,2025-10-24 13:00:00,completed,1255.75,COD,10.0
ORD-00333,CUST-0062,2025-09-27 15:00:00,completed,1487.28,E-Wallet,10.0
ORD-00334,CUST-0034,2025-12-05 18:00:00,completed,342.12,Bank Transfer,0.0
ORD-00335,CUST-0099,2025-10-30 11:00:00,cancelled,871.34,COD,10.0
ORD-00336,CUST-0018,2025-09-27 16:00:00,completed,983.84,E-Wallet,0.0
ORD-00337,CUST-0095,2025-12-05 15:00:00,cancelled,819.42,COD,0.0
ORD-00338,CUST-0048,2025-07-30 08:00:00,completed,1142.26,COD,10.0
ORD-00339,CUST-0095,2025-08-07 17:00:00,completed,973.77,COD,0.0
ORD-00340,CUST-0049,2025-07-28 16:00:00,completed,1375.8,COD,0.0
ORD-00341,CUST-0028,2025-07-09 10:00:00,completed,173.51,Credit Card,5.0
ORD-00342,CUST-0062,2025-11-20 15:00:00,completed,1044.3,E-Wallet,10.0
ORD-00343,CUST-0018,2025-11-09 16:00:00,completed,779.67,Credit Card,10.0
ORD-00344,CUST-0093,2025-12-04 18:00:00,completed,94.54,Bank Transfer,5.0
ORD-00345,CUST-0022,2025-07-27 14:00:00,completed,609.75,COD,10.0
ORD-00346,CUST-0059,2025-10-31 17:00:00,completed,2583.0,Bank Transfer,0.0
ORD-00347,CUST-0079,2025-11-01 08:00:00,cancelled,205.16,Credit Card,0.0
ORD-00348,CUST-0100,2025-11-21 18:00:00,completed,1985.22,Credit Card,10.0
ORD-00349,CUST-0055,2025-07-05 12:00:00,completed,481.62,Credit Card,0.0
ORD-00350,CUST-0091,2025-12-08 20:00:00,completed,105.54,E-Wallet,10.0
ORD-00351,CUST-0089,2025-08-20 14:00:00,completed,1394.73,COD,5.0
ORD-00352,CUST-0079,2025-08-10 18:00:00,completed,884.42,Bank Transfer,10.0
ORD-00353,CUST-0033,2025-08-18 17:00:00,completed,1299.47,COD,5.0
ORD-00354,CUST-0071,2025-11-05 19:00:00,completed,723.34,Credit Card,0.0
ORD-00355,CUST-0019,2025-09-29 17:00:00,,280.91,Credit Card,0.0
ORD-00356,CUST-0093,2025-09-07 14:00:00,completed,1219.87,COD,0.0
ORD-00357,CUST-0025,2025-06-09 20:00:00,completed,853.81,Credit Card,10.0
ORD-00358,CUST-0021,2025-06-23 12:00:00,completed,1299.28,Credit Card,0.0
ORD-00359,CUST-0071,2025-08-12 19:00:00,completed,993.31,E-Wallet,5.0
ORD-00360,CUST-0053,2025-10-08 09:00:00,completed,1745.03,Bank Transfer,5.0
ORD-00361,CUST-0099,2025-08-02 20:00:00,completed,1604.54,E-Wallet,10.0
ORD-00362,CUST-0041,2025-09-14 13:00:00,completed,101.24,Credit Card,5.0
ORD-00363,CUST-0052,2025-11-20 19:00:00,completed,124.8,COD,5.0
ORD-00364,CUST-0028,2025-10-25 12:00:00,completed,2069.09,E-Wallet,5.0
ORD-00365,CUST-0030,2025-07-22 11:00:00,completed,1481.75,Credit Card,10.0
ORD-00366,CUST-0062,2025-09-04 17:00:00,completed,2033.87,Bank Transfer,0.0
ORD-00367,CUST-0062,2025-10-17 08:00:00,completed,1669.45,Bank Transfer,0.0
ORD-00368,CUST-0075,2025-06-26 13:00:00,completed,1433.51,Bank Transfer,0.0
ORD-00369,CUST-0055,2025-07-24 14:00:00,completed,515.05,Credit Card,0.0
ORD-00370,CUST-0093,2025-08-09 20:00:00,completed,835.55,COD,10.0
ORD-00371,CUST-0063,2025-08-16 12:00:00,completed,148.37,Credit Card,0.0
ORD-00372,CUST-0028,2025-08-05 15:00:00,completed,287.9,COD,5.0
ORD-00373,CUST-0047,2025-10-22 16:00:00,cancelled,995.19,E-Wallet,10.0
ORD-00374,CUST-0100,2025-08-12 13:00:00,completed,2661.02,Bank Transfer,5.0
ORD-00375,CUST-0081,2025-11-04 17:00:00,completed,108.28,COD,0.0
ORD-00376,CUST-0041,2025-11-15 12:00:00,completed,831.27,E-Wallet,10.0
ORD-00377,CUST-0085,2025-08-04 19:00:00,completed,47.26,Credit Card,0.0
ORD-00378,CUST-0009,2025-09-30 16:00:00,completed,1735.38,COD,10.0
ORD-00379,CUST-0057,2025-11-08 10:00:00,completed,208.22,COD,5.0
ORD-00380,CUST-0071,2025-09-22 10:00:00,returned,1531.93,Bank Transfer,10.0
ORD-00381,CUST-0068,2025-11-11 18:00:00,completed,1767.22,COD,0.0
ORD-00382,CUST-0002,2025-06-01 16:00:00,completed,225.14,Bank Transfer,5.0
ORD-00383,CUST-0039,2025-06-03 20:00:00,completed,1118.73,E-Wallet,5.0
ORD-00384,CUST-0021,2025-12-01 19:00:00,completed,2937.84,COD,10.0
ORD-00385,CUST-0053,2025-07-19 09:00:00,completed,1261.38,COD,0.0
ORD-00386,CUST-0003,2025-07-09 08:00:00,returned,147.23,E-Wallet,5.0
ORD-00387,CUST-0092,2025-09-21 19:00:00,completed,302.99,COD,0.0
ORD-00388,CUST-0054,2025-08-19 20:00:00,completed,1052.39,Bank Transfer,0.0
ORD-00389,CUST-0024,2025-07-20 12:00:00,completed,941.27,Bank Transfer,5.0
ORD-00390,CUST-0032,2025-12-06 08:00:00,completed,306.71,Bank Transfer,5.0
ORD-00391,CUST-0088,2025-08-19 13:00:00,completed,114.39,COD,0.0
ORD-00392,CUST-0062,2025-11-11 12:00:00,completed,177.38,Bank Transfer,0.0
ORD-00393,CUST-0042,2025-06-04 10:00:00,completed,164.85,Bank Transfer,0.0
ORD-00394,CUST-0089,2025-10-31 10:00:00,completed,386.02,COD,0.0
ORD-00395,CUST-0098,2025-11-08 08:00:00,completed,385.14,COD,5.0
ORD-00396,CUST-0057,2025-12-05 11:00:00,completed,1636.68,E-Wallet,5.0
ORD-00397,CUST-0073,2025-07-18 16:00:00,completed,2325.02,Credit Card,5.0
ORD-00398,CUST-0100,2025-11-11 16:00:00,completed,1879.91,Credit Card,5.0
ORD-00399,CUST-0085,2025-10-16 14:00:00,completed,2480.04,Credit Card,10.0
ORD-00400,CUST-0006,2025-07-04 10:00:00,cancelled,81.83,Bank Transfer,10.0
ORD-00011,CUST-0054,2025-06-16 11:00:00,completed,2975.08,E-Wallet,10.0
ORD-00051,CUST-0090,2025-08-15 08:00:00,returned,3133.36,E-Wallet,5.0
