dispatch_id,order_id,warehouse_id,dispatch_date,delivery_status,shipping_carrier,lead_time_hours
DSP-00309,SO-32296,WH-HN01,2024-03-27,DELIVERED,CyberExpress,24
DSP-00310,SO-54295,WH-HN01,2024-03-28,DELIVERED,FastLogistics VN,12
DSP-00311,SO-34901,WH-HN01,2024-03-28,DELIVERED,FastLogistics VN,24
DSP-00312,SO-84943,WH-HN01,2024-03-28,DELIVERED,FastLogistics VN,36
DSP-00313,SO-21485,WH-DN01,2024-03-29,DELIVERED,VNPost Logistics,18
DSP-00314,SO-20739,WH-HN01,2024-03-29,DELIVERED,FastLogistics VN,24
DSP-00315,SO-58630,WH-HCM01,2024-03-30,DELIVERED,FastLogistics VN,18
DSP-00316,SO-67637,WH-DN01,2024-03-30,DELIVERED,VNPost Logistics,18
DSP-00317,SO-29808,WH-DN01,2024-03-30,DELIVERED,VNPost Logistics,12
DSP-00318,SO-87296,WH-DN01,2024-03-30,DELIVERED,NinjaVan Hub,12
DSP-00319,SO-80190,WH-DN01,2024-03-30,DELIVERED,NinjaVan Hub,18
DSP-00320,SO-20348,WH-HN01,2024-03-31,DELIVERED,CyberExpress,36
DSP-00321,SO-87014,WH-HN01,2024-04-01,DELIVERED,FastLogistics VN,36
DSP-00322,SO-87061,WH-HN01,2024-04-01,DELIVERED,VNPost Logistics,36
DSP-00323,SO-89777,WH-DN01,2024-04-01,DELIVERED,CyberExpress,36
DSP-00324,SO-16460,WH-DN01,2024-04-01,DELIVERED,CyberExpress,24
DSP-00325,SO-45313,WH-HCM01,2024-04-02,DELIVERED,FastLogistics VN,18
DSP-00326,SO-37707,WH-HN01,2024-04-02,DELIVERED,VNPost Logistics,18
DSP-00327,SO-27779,WH-HCM01,2024-04-03,DELIVERED,NinjaVan Hub,48
DSP-00328,SO-14334,WH-HN01,2024-04-03,DELIVERED,FastLogistics VN,12
DSP-00329,SO-45910,WH-DN01,2024-04-03,DELIVERED,FastLogistics VN,36
DSP-00330,SO-33276,WH-DN01,2024-04-03,DELIVERED,VNPost Logistics,24
DSP-00331,SO-43903,WH-DN01,2024-04-04,DELIVERED,NinjaVan Hub,36
DSP-00332,SO-85007,WH-DN01,2024-04-04,DELIVERED,NinjaVan Hub,18
DSP-00333,SO-11166,WH-HCM01,2024-04-04,DELIVERED,NinjaVan Hub,36
DSP-00334,SO-43029,WH-DN01,2024-04-05,DELIVERED,CyberExpress,18
DSP-00335,SO-62055,WH-HCM01,2024-04-05,DELIVERED,VNPost Logistics,36
DSP-00336,SO-94848,WH-HCM01,2024-04-05,DELIVERED,NinjaVan Hub,12
DSP-00337,SO-54077,WH-HN01,2024-04-05,DELIVERED,FastLogistics VN,12
DSP-00338,SO-95389,WH-DN01,2024-04-05,DELIVERED,NinjaVan Hub,48
DSP-00339,SO-17441,WH-HCM01,2024-04-06,DELIVERED,NinjaVan Hub,12
DSP-00340,SO-13336,WH-HCM01,2024-04-06,DELIVERED,VNPost Logistics,36
DSP-00341,SO-39145,WH-HCM01,2024-04-06,DELIVERED,CyberExpress,36
DSP-00342,SO-83273,WH-HN01,2024-04-07,DELIVERED,NinjaVan Hub,48
DSP-00343,SO-58717,WH-DN01,2024-04-07,DELIVERED,NinjaVan Hub,48
DSP-00344,SO-17035,WH-DN01,2024-04-07,DELIVERED,VNPost Logistics,24
DSP-00345,SO-99220,WH-HN01,2024-04-07,DELIVERED,NinjaVan Hub,12
DSP-00346,SO-84632,WH-HN01,2024-04-08,DELIVERED,CyberExpress,48
DSP-00347,SO-73908,WH-HCM01,2024-04-08,DELIVERED,VNPost Logistics,18
DSP-00348,SO-17603,WH-HN01,2024-04-08,DELIVERED,NinjaVan Hub,18
DSP-00349,SO-62873,WH-DN01,2024-04-09,DELIVERED,VNPost Logistics,36
DSP-00350,SO-39657,WH-HCM01,2024-04-09,DELIVERED,NinjaVan Hub,12
DSP-00351,SO-87158,WH-HN01,2024-04-09,DELIVERED,VNPost Logistics,36
DSP-00352,SO-69759,WH-HN01,2024-04-10,DELIVERED,VNPost Logistics,24
DSP-00353,SO-74248,WH-HCM01,2024-04-10,DELIVERED,FastLogistics VN,12
DSP-00354,SO-59177,WH-HCM01,2024-04-10,DELIVERED,CyberExpress,24
DSP-00355,SO-25176,WH-HN01,2024-04-11,DELIVERED,CyberExpress,36
DSP-00356,SO-72180,WH-HN01,2024-04-11,DELIVERED,CyberExpress,48
DSP-00357,SO-49467,WH-HCM01,2024-04-11,DELIVERED,FastLogistics VN,48
DSP-00358,SO-91631,WH-HCM01,2024-04-11,DELIVERED,CyberExpress,18
DSP-00359,SO-56913,WH-DN01,2024-04-12,DELIVERED,NinjaVan Hub,18
DSP-00360,SO-37222,WH-HN01,2024-04-12,DELIVERED,VNPost Logistics,36
DSP-00361,SO-21665,WH-HN01,2024-04-12,DELIVERED,FastLogistics VN,36
DSP-00362,SO-15170,WH-HN01,2024-04-13,DELIVERED,CyberExpress,48
DSP-00363,SO-25191,WH-HCM01,2024-04-13,DELIVERED,CyberExpress,12
DSP-00364,SO-22183,WH-DN01,2024-04-13,DELIVERED,CyberExpress,18
DSP-00365,SO-65278,WH-DN01,2024-04-14,DELIVERED,CyberExpress,36
DSP-00366,SO-30892,WH-HCM01,2024-04-14,DELIVERED,VNPost Logistics,24
DSP-00367,SO-98918,WH-HCM01,2024-04-14,DELIVERED,FastLogistics VN,36
DSP-00368,SO-90131,WH-DN01,2024-04-14,DELIVERED,CyberExpress,24
DSP-00369,SO-11620,WH-DN01,2024-04-15,RETURNED,FastLogistics VN,36
DSP-00370,SO-55318,WH-HCM01,2024-04-15,DELIVERED,VNPost Logistics,48
DSP-00371,SO-11526,WH-HCM01,2024-04-15,DELIVERED,FastLogistics VN,48
DSP-00372,SO-19812,WH-DN01,2024-04-15,DELIVERED,NinjaVan Hub,12
DSP-00373,SO-76444,WH-DN01,2024-04-16,DELIVERED,NinjaVan Hub,18
DSP-00374,SO-20332,WH-DN01,2024-04-16,DELIVERED,FastLogistics VN,24
DSP-00375,SO-75333,WH-HCM01,2024-04-16,DELIVERED,CyberExpress,24
DSP-00376,SO-12329,WH-DN01,2024-04-16,DELIVERED,FastLogistics VN,48
DSP-00377,SO-17113,WH-DN01,2024-04-17,DELIVERED,NinjaVan Hub,24
DSP-00378,SO-16000,WH-DN01,2024-04-17,DELIVERED,NinjaVan Hub,18
DSP-00379,SO-25826,WH-HCM01,2024-04-18,DELIVERED,NinjaVan Hub,18
DSP-00380,SO-98098,WH-DN01,2024-04-18,DELIVERED,VNPost Logistics,48
DSP-00381,SO-42537,WH-DN01,2024-04-19,DELIVERED,CyberExpress,12
DSP-00382,SO-27481,WH-DN01,2024-04-19,DELIVERED,VNPost Logistics,24
DSP-00383,SO-99995,WH-HCM01,2024-04-20,DELIVERED,NinjaVan Hub,48
DSP-00384,SO-11673,WH-HCM01,2024-04-21,DELIVERED,NinjaVan Hub,48
DSP-00385,SO-42841,WH-HN01,2024-04-21,DELIVERED,CyberExpress,36
DSP-00386,SO-98542,WH-DN01,2024-04-21,DELIVERED,VNPost Logistics,24
DSP-00387,SO-94886,WH-DN01,2024-04-22,DELIVERED,NinjaVan Hub,36
DSP-00388,SO-34507,WH-HN01,2024-04-22,DELIVERED,FastLogistics VN,18
DSP-00389,SO-43425,WH-HN01,2024-04-23,DELIVERED,CyberExpress,36
DSP-00390,SO-30146,WH-HCM01,2024-04-23,RETURNED,NinjaVan Hub,48
DSP-00391,SO-49472,WH-HCM01,2024-04-23,RETURNED,CyberExpress,48
DSP-00392,SO-38992,WH-DN01,2024-04-24,DELIVERED,VNPost Logistics,18
DSP-00393,SO-38632,WH-DN01,2024-04-24,DELIVERED,VNPost Logistics,24
DSP-00394,SO-90439,WH-DN01,2024-04-24,DELIVERED,CyberExpress,36
DSP-00395,SO-77746,WH-HCM01,2024-04-25,DELIVERED,FastLogistics VN,18
DSP-00396,SO-15747,WH-HCM01,2024-04-25,DELIVERED,NinjaVan Hub,48
DSP-00397,SO-21471,WH-HCM01,2024-04-26,RETURNED,CyberExpress,36
DSP-00398,SO-85361,WH-DN01,2024-04-26,DELIVERED,NinjaVan Hub,24
DSP-00399,SO-10773,WH-HCM01,2024-04-26,DELIVERED,FastLogistics VN,18
DSP-00400,SO-21338,WH-HCM01,2024-04-26,DELIVERED,CyberExpress,36
DSP-00401,SO-61248,WH-HCM01,2024-04-27,DELIVERED,FastLogistics VN,12
DSP-00402,SO-80405,WH-HCM01,2024-04-27,DELIVERED,FastLogistics VN,12
DSP-00403,SO-55069,WH-HCM01,2024-04-27,DELIVERED,NinjaVan Hub,18
DSP-00404,SO-35470,WH-HN01,2024-04-28,DELIVERED,FastLogistics VN,48
DSP-00405,SO-70458,WH-HCM01,2024-04-28,DELIVERED,VNPost Logistics,36
DSP-00406,SO-35875,WH-HN01,2024-04-28,DELIVERED,CyberExpress,24
DSP-00407,SO-73682,WH-HN01,2024-04-28,DELIVERED,NinjaVan Hub,24
DSP-00408,SO-86568,WH-HCM01,2024-04-28,DELIVERED,NinjaVan Hub,18
DSP-00409,SO-32103,WH-DN01,2024-04-29,DELIVERED,NinjaVan Hub,36
DSP-00410,SO-53458,WH-DN01,2024-04-29,DELIVERED,FastLogistics VN,18
DSP-00411,SO-73828,WH-DN01,2024-04-29,DELIVERED,VNPost Logistics,36
DSP-00412,SO-28350,WH-HCM01,2024-04-29,DELIVERED,CyberExpress,36
DSP-00413,SO-19882,WH-HCM01,2024-04-30,DELIVERED,NinjaVan Hub,36
DSP-00414,SO-39269,WH-HN01,2024-04-30,DELIVERED,CyberExpress,36
DSP-00415,SO-96430,WH-HN01,2024-05-01,DELIVERED,CyberExpress,48
DSP-00416,SO-15610,WH-DN01,2024-05-01,DELIVERED,NinjaVan Hub,48
DSP-00417,SO-69591,WH-DN01,2024-05-01,DELIVERED,FastLogistics VN,12
DSP-00418,SO-78337,WH-HCM01,2024-05-02,DELIVERED,NinjaVan Hub,18
DSP-00419,SO-63194,WH-DN01,2024-05-02,RETURNED,CyberExpress,12
DSP-00420,SO-40145,WH-HN01,2024-05-02,DELIVERED,NinjaVan Hub,48
DSP-00421,SO-34498,WH-DN01,2024-05-02,DELIVERED,FastLogistics VN,48
DSP-00422,SO-73113,WH-DN01,2024-05-03,DELIVERED,FastLogistics VN,18
DSP-00423,SO-63857,WH-HCM01,2024-05-03,DELIVERED,FastLogistics VN,18
DSP-00424,SO-29249,WH-HCM01,2024-05-03,DELIVERED,CyberExpress,24
DSP-00425,SO-88558,WH-HN01,2024-05-03,DELIVERED,NinjaVan Hub,12
DSP-00426,SO-32356,WH-HCM01,2024-05-04,DELIVERED,NinjaVan Hub,36
DSP-00427,SO-88188,WH-HCM01,2024-05-04,DELIVERED,NinjaVan Hub,18
DSP-00428,SO-12170,WH-DN01,2024-05-04,DELIVERED,VNPost Logistics,48
DSP-00429,SO-29603,WH-HCM01,2024-05-04,DELIVERED,CyberExpress,18
DSP-00430,SO-79655,WH-HCM01,2024-05-05,DELIVERED,NinjaVan Hub,12
DSP-00431,SO-80685,WH-HCM01,2024-05-05,RETURNED,NinjaVan Hub,48
DSP-00432,SO-85513,WH-HCM01,2024-05-05,DELIVERED,VNPost Logistics,12
DSP-00433,SO-20986,WH-DN01,2024-05-05,DELIVERED,CyberExpress,48
DSP-00434,SO-34775,WH-HCM01,2024-05-05,DELIVERED,CyberExpress,36
DSP-00435,SO-63588,WH-HN01,2024-05-06,DELIVERED,CyberExpress,24
DSP-00436,SO-43244,WH-DN01,2024-05-06,DELIVERED,NinjaVan Hub,24
DSP-00437,SO-43263,WH-HCM01,2024-05-07,DELIVERED,CyberExpress,36
DSP-00438,SO-28096,WH-HCM01,2024-05-07,DELIVERED,CyberExpress,18
DSP-00439,SO-99727,WH-DN01,2024-05-07,DELIVERED,VNPost Logistics,18
DSP-00440,SO-14948,WH-DN01,2024-05-07,DELIVERED,NinjaVan Hub,18
DSP-00441,SO-47487,WH-HN01,2024-05-08,DELIVERED,VNPost Logistics,18
DSP-00442,SO-41359,WH-HCM01,2024-05-08,DELIVERED,NinjaVan Hub,12
DSP-00443,SO-18993,WH-HN01,2024-05-09,DELIVERED,VNPost Logistics,18
DSP-00444,SO-55625,WH-HCM01,2024-05-09,DELIVERED,VNPost Logistics,24
DSP-00445,SO-43776,WH-DN01,2024-05-10,DELIVERED,VNPost Logistics,36
DSP-00446,SO-38885,WH-HN01,2024-05-10,DELIVERED,FastLogistics VN,48
DSP-00447,SO-45268,WH-DN01,2024-05-11,DELIVERED,CyberExpress,18
DSP-00448,SO-10868,WH-HCM01,2024-05-12,DELIVERED,VNPost Logistics,18
DSP-00449,SO-39110,WH-HCM01,2024-05-12,DELIVERED,FastLogistics VN,24
DSP-00450,SO-14268,WH-DN01,2024-05-12,DELIVERED,NinjaVan Hub,48
DSP-00451,SO-70302,WH-HN01,2024-05-13,DELIVERED,FastLogistics VN,36
DSP-00452,SO-81901,WH-HCM01,2024-05-13,DELIVERED,VNPost Logistics,18
DSP-00453,SO-57962,WH-DN01,2024-05-13,DELIVERED,FastLogistics VN,36
DSP-00454,SO-58799,WH-HN01,2024-05-13,DELIVERED,VNPost Logistics,12
DSP-00455,SO-11276,WH-HCM01,2024-05-14,DELIVERED,VNPost Logistics,18
DSP-00456,SO-79990,WH-HN01,2024-05-14,DELIVERED,NinjaVan Hub,24
DSP-00457,SO-22622,WH-DN01,2024-05-14,DELIVERED,FastLogistics VN,36
DSP-00458,SO-99074,WH-DN01,2024-05-15,DELIVERED,VNPost Logistics,24
DSP-00459,SO-32877,WH-HCM01,2024-05-15,DELIVERED,NinjaVan Hub,48
DSP-00460,SO-19351,WH-HCM01,2024-05-16,DELIVERED,NinjaVan Hub,18
DSP-00461,SO-95591,WH-HN01,2024-05-16,DELIVERED,NinjaVan Hub,18
DSP-00462,SO-40753,WH-HN01,2024-05-17,DELIVERED,CyberExpress,12
DSP-00463,SO-81884,WH-HN01,2024-05-17,DELIVERED,FastLogistics VN,24
DSP-00464,SO-23622,WH-DN01,2024-05-17,DELIVERED,CyberExpress,18
DSP-00465,SO-50549,WH-HN01,2024-05-17,DELIVERED,NinjaVan Hub,18
DSP-00466,SO-26569,WH-DN01,2024-05-18,DELIVERED,CyberExpress,48
DSP-00467,SO-96972,WH-HN01,2024-05-18,DELIVERED,FastLogistics VN,48
DSP-00468,SO-93342,WH-DN01,2024-05-18,DELIVERED,NinjaVan Hub,24
DSP-00469,SO-55504,WH-HCM01,2024-05-19,RETURNED,CyberExpress,12
DSP-00470,SO-57943,WH-HN01,2024-05-19,DELIVERED,CyberExpress,24
DSP-00471,SO-78592,WH-DN01,2024-05-19,DELIVERED,FastLogistics VN,12
DSP-00472,SO-74478,WH-DN01,2024-05-19,DELIVERED,FastLogistics VN,18
DSP-00473,SO-40305,WH-DN01,2024-05-20,DELIVERED,NinjaVan Hub,18
DSP-00474,SO-67292,WH-HN01,2024-05-20,DELIVERED,VNPost Logistics,18
DSP-00475,SO-61081,WH-HCM01,2024-05-20,DELIVERED,FastLogistics VN,48
DSP-00476,SO-41399,WH-HN01,2024-05-20,DELIVERED,FastLogistics VN,12
DSP-00477,SO-64120,WH-HCM01,2024-05-20,DELIVERED,FastLogistics VN,48
DSP-00478,SO-23405,WH-HCM01,2024-05-21,DELIVERED,NinjaVan Hub,18
DSP-00479,SO-11075,WH-HCM01,2024-05-21,DELIVERED,CyberExpress,36
DSP-00480,SO-70776,WH-DN01,2024-05-21,DELIVERED,CyberExpress,24
DSP-00481,SO-22315,WH-HN01,2024-05-22,DELIVERED,NinjaVan Hub,18
DSP-00482,SO-30789,WH-HCM01,2024-05-22,DELIVERED,CyberExpress,12
DSP-00483,SO-61879,WH-DN01,2024-05-23,DELIVERED,NinjaVan Hub,48
DSP-00484,SO-72294,WH-HN01,2024-05-23,DELIVERED,NinjaVan Hub,24
DSP-00485,SO-91937,WH-HCM01,2024-05-24,DELIVERED,NinjaVan Hub,12
DSP-00486,SO-80300,WH-HCM01,2024-05-24,DELIVERED,NinjaVan Hub,18
DSP-00487,SO-94495,WH-HN01,2024-05-24,DELIVERED,NinjaVan Hub,12
DSP-00488,SO-73609,WH-HN01,2024-05-24,DELIVERED,FastLogistics VN,48
DSP-00489,SO-34874,WH-HCM01,2024-05-24,DELIVERED,VNPost Logistics,24
DSP-00490,SO-46087,WH-DN01,2024-05-25,DELIVERED,FastLogistics VN,24
DSP-00491,SO-44517,WH-HN01,2024-05-25,DELIVERED,VNPost Logistics,24
DSP-00492,SO-60789,WH-HN01,2024-05-25,DELIVERED,FastLogistics VN,36
DSP-00493,SO-52208,WH-DN01,2024-05-26,DELIVERED,NinjaVan Hub,36
DSP-00494,SO-27009,WH-HCM01,2024-05-26,DELIVERED,CyberExpress,36
DSP-00495,SO-87371,WH-HCM01,2024-05-26,DELIVERED,CyberExpress,36
DSP-00496,SO-19289,WH-HN01,2024-05-27,DELIVERED,FastLogistics VN,36
DSP-00497,SO-34832,WH-HN01,2024-05-27,DELIVERED,FastLogistics VN,18
DSP-00498,SO-33448,WH-HN01,2024-05-28,DELIVERED,VNPost Logistics,18
DSP-00499,SO-43303,WH-HN01,2024-05-29,DELIVERED,NinjaVan Hub,24
DSP-00500,SO-10860,WH-HCM01,2024-05-29,DELIVERED,FastLogistics VN,12
